Nome,Quantidade,Código de Barras,Categoria,Descrição,Preço de Custo,Preço de Venda,Unidade,Fornecedor,Localização,Observações
Arroz Tipo 1,100,1234567890123,Alimentos,Arroz branco tipo 1 kg,2.50,4.00,KG,Fornecedor ABC,Estoque A,Produto premium
Feijão Preto,50,9876543210987,Alimentos,Feijão preto premium 1kg,3.00,5.50,KG,Fornecedor XYZ,Estoque A,Grão selecionado
Açúcar Cristal,75,,Alimentos,Açúcar cristal refinado 1kg,1.80,3.20,KG,Fornecedor ABC,Estoque B,
Óleo de Soja,30,5555666677778,Alimentos,Óleo de soja refinado 900ml,4.50,7.90,LT,Fornecedor DEF,Estoque A,Embalagem 900ml
Macarrão Espaguete,25,1111222233334,Alimentos,Macarrão espaguete premium 500g,1.20,2.80,PCT,Fornecedor ABC,Estoque B,Pacote 500g
Sabão em Pó,40,2222333344445,Limpeza,Sabão em pó concentrado 1kg,6.80,12.90,PCT,Fornecedor GHI,Estoque C,Fórmula concentrada
Refrigerante Cola,60,3333444455556,Bebidas,Refrigerante cola 2L,3.20,5.80,UN,Fornecedor JKL,Estoque A,Garrafa pet 2L
Papel Higiênico,35,4444555566667,Higiene,Papel higiênico folha dupla c/12,8.50,15.90,PCT,Fornecedor MNO,Estoque C,Pacote com 12 rolos
Leite Integral,80,5555666677778,Laticínios,Leite integral 1L,2.80,4.50,LT,Fornecedor PQR,Estoque B,Caixa tetra pak
Biscoito Salgado,45,6666777788889,Alimentos,Biscoito cream cracker 400g,2.20,3.80,PCT,Fornecedor STU,Estoque A,Pacote 400g
